part_number	name	warranty	instock	priceOpt
KP4T2F-PSB	4Gb DDR3L-1600 1Rx8 Kingston KP4T2F-PSB - 360грн, есть 4шт	36	400	180
MT8KTF51264AZ-1G6E1	4Gb DDR3L-1600 1Rx8 Micron MT8KTF51264AZ-1G6E1 - 360грн, есть 3шт	36	300	180
RMR5030EF68F9W-1600	4Gb DDR3L-1600 1Rx8 Ramaxel RMR5030EF68F9W-1600 - 360грн, есть 6шт	36	600	180
RMR5030MJ68F9F-1600	4Gb DDR3L-1600 1Rx8 Ramaxel RMR5030MJ68F9F-1600 - 360грн, есть 5шт	36	500	180
M378B5173EB0-YK0	4Gb DDR3L-1600 1Rx8 Samsung M378B5173EB0-YK0 - 360грн	36	100	180
IM34GU48C16-999HB	2х4Gb DDR3-1600 1Rx8 KLEVV IM34GU48C16-999HB радиаторная - 800грн	36	100	400
BLS4G3D1609DS1S00	4Gb DDR3-1600 2Rx8 Crucial BLS4G3D1609DS1S00 16FER2 радиаторная - 400грн, есть 5шт	36	500	200
BLS4G3D1609DS1S00	4Gb DDR3-1600 2Rx8 Crucial BLS4G3D1609DS1S00 16FMR радиаторная - 400грн	36	100	200
PGQ316G1600ELQK	4Gb DDR3-1600 2Rx8 Patriot PGQ316G1600ELQK черный радиатор - 400грн, есть 5шт	36	500	200
M378B5173DB0-CK0	4Gb DDR3-1600 1Rx8 Samsung M378B5173DB0-CK0 - 350грн, есть 86шт резерв 2шт	36	900	175
M378B5173EB0-CK0	4Gb DDR3-1600 1Rx8 Samsung M378B5173EB0-CK0 - 350грн, есть 9шт	36	900	175
M378B5173BH0-CK0	4Gb DDR3-1600 1Rx8 Samsung M378B5173BH0-CK0 - 350грн, есть 4шт	36	400	175
M378B5173QH0-CK0	4Gb DDR3-1600 1Rx8 Samsung M378B5173QH0-CK0 - 350грн, есть 33шт	36	900	175
M378B5273CH0-CK0	4Gb DDR3-1600 2Rx8 Samsung M378B5273CH0-CK0 - 360грн, есть 7шт	36	700	180
M378B5273DH0-CK0	4Gb DDR3-1600 2Rx8 Samsung M378B5273DH0-CK0 - 360грн, есть 2шт	36	200	180
M378B5273EB0-CK0	4Gb DDR3-1600 2Rx8 Samsung M378B5273EB0-CK0 - 360грн, есть 10шт	36	900	180
HMT451U6AFR8C-PB	4Gb DDR3-1600 1Rx8 Hynix HMT451U6AFR8C-PB - 350грн, есть 17шт	36	900	175
HMT451U6BFR8C-PB	4Gb DDR3-1600 1Rx8 Hynix HMT451U6BFR8C-PB - 350грн, есть 2шт	36	200	175
HMT351U6CFR8C-PB	4Gb DDR3-1600 2Rx8 Hynix HMT351U6CFR8C-PB - 360грн, есть 38шт	36	900	180
HMT351U6EFR8C-PB	4Gb DDR3-1600 2Rx8 Hynix HMT351U6EFR8C-PB - 360грн, есть 43шт	36	900	180
K531R8-HYA	4Gb DDR3-1600 1Rx8 Kingston K531R8-HYA - 360грн	36	100	180
MT8JTF51264AZ-1G6E1	4Gb DDR3-1600 1Rx8 Micron MT8JTF51264AZ-1G6E1 - 360грн, есть 20шт	36	900	180
NT4GC64B88B1NF-DI	4Gb DDR3-1600 1Rx8 Nanya NT4GC64B88B1NF-DI - 360грн, есть 2шт	36	200	180
AD3LSS4GE1WB-CKGQ	4Gb DDR3-1600 2Rx8 ATLA AD3LSS4GE1WB-CKGQ - 360грн	36	100	180
CT51264BA160B	4Gb DDR3-1600 2Rx8 Crucial CT51264BA160B - 360грн, есть 9шт	36	900	180
EBJ41UF8BDW0-GN	4Gb DDR3-1600 2Rx8 Elpida EBJ41UF8BDW0-GN-F - 360грн	36	100	180
HP655410-150	4Gb DDR3-1600 2Rx8 Kingston HP655410-150-HYCG - 360грн, есть 58шт	36	900	180
MT16JTF51264AZ-1G6M1	4Gb DDR3-1600 2Rx8 Micron MT16JTF51264AZ-1G6M1 - 360грн, есть 20шт	36	900	180
NT4GC64B8HG0NS-DI	4Gb DDR3-1600 2Rx8 Nanya NT4GC64B8HG0NS-DI - 360грн	36	100	180
RMR5040ED58E9W-1600	4Gb DDR3-1600 2Rx8 Ramaxel RMR5040ED58E9W-1600 - 360грн, есть 3шт	36	300	180
CMX16GX3M4A1333C9	4х4Gb DDR3-1333 2Rx8 Corsair XMS3 CMX16GX3M4A1333C9 черный радиатор - 1600грн, есть 3шт	36	300	800
PG34G1333EL	2х4Gb DDR3-1333 2Rx8 Patriot PG34G1333EL черный радиатор - 800грн	36	100	400
PGD38G1333ELK	2х4Gb DDR3-1333 2Rx8 Patriot PGD38G1333ELK черный радиатор - 800грн, есть 5 пар	36	500	400
PSD34G13332H	2х4Gb DDR3-1333 2Rx8 Patriot PSD34G13332H синий радиатор - 800грн	36	100	400
10600CL9D-8GBNT	2x4Gb DDR3-1333 2Rx8 G.Skill F3-10600CL9D-8GBNT - 800грн, есть 2шт резерв 1шт	36	200	400
KVR1333D3N9K2/8G	2x4Gb DDR3-1333 2Rx8 Kingston KVR1333D3N9K2/8G низкая - 800грн	36	100	400
BLS4G3D1339DS1S00	4Gb DDR3-1333 2Rx8 Crucial BLS4G3D1339DS1S00 16FMR радиаторная - 400грн, есть 12шт	36	900	200
MT16JTF51264AZ-1G4D1	4Gb DDR3-1333 2Rx8 VTK (Micron MT16JTF51264AZ-1G4D1) радиаторная - 400грн, есть 13шт	36	900	200
CT51264BA1339	4Gb DDR3-1333 2Rx8 Crucial CT51264BA1339 16FR (Micron MT16JTF51264AZ-1G4D1) - 360грн, есть 7шт	36	700	180
CT51264BA1339	4Gb DDR3-1333 2Rx8 Crucial CT51264BA1339 C16F1D - 360грн	36	100	180
CT51264BA1339	4Gb DDR3-1333 2Rx8 Crucial CT51264BA1339 C16F1MR - 360грн	36	100	180
HMT351U6AFR8C-H9	4Gb DDR3-1333 2Rx8 Hynix HMT351U6AFR8C-H9 - 360грн	36	100	180
HMT351U6BFR8C-H9	4Gb DDR3-1333 2Rx8 Hynix HMT351U6BFR8C-H9 - 360грн, есть 4шт резерв 2шт	36	400	180
HMT351U6CFR8C-H9	4Gb DDR3-1333 2Rx8 Hynix HMT351U6CFR8C-H9 - 360грн, есть 30шт	36	900	180
KTD-XPS730B/4G	4Gb DDR3-1333 2Rx8 Kingston KTD-XPS730B/4G - 360грн	36	100	180
MT16JTF51264AZ-1G4D1	4Gb DDR3-1333 2Rx8 Micron MT16JTF51264AZ-1G4D1 - 360грн, есть 2шт	36	200	180
